SourceNode	TargetNode	InteractionType	Weight
SRR4030059_GL0008324	SRR8088272_GL0062831	similarity_link	12.68
SRR4030059_GL0008324	SRR6826350_GL0083842	similarity_link	18.94
SRR4030059_GL0008324	SRR5712690_GL0003908	similarity_link	14.91
SRR4030059_GL0008324	SRR7609610_GL0132768	similarity_link	26.32
SRR4030059_GL0008324	SRR5820075_GL2762959	similarity_link	29.13
SRR4030059_GL0008324	SRR5754713_GL0168501	similarity_link	16.76
SRR4030059_GL0008324	SRR7054464_GL0031411	similarity_link	17.61
SRR4030059_GL0008324	SRR9663116_GL0508921	similarity_link	20.98
SRR4030059_GL0008324	SRR9663116_GL1342084	similarity_link	21.21
SRR4030059_GL0008324	SRR7615962_GL4615040	similarity_link	25.19
ERR598942_GL1124304	SRR5213598_GL1852227	similarity_link	21.53
ERR598942_GL1124304	SRR8088272_GL0062831	similarity_link	12.86
ERR598942_GL1124304	SAMN14511311_gene_id_77418	similarity_link	22.32
ERR598942_GL1124304	SRR6826350_GL0083842	similarity_link	16.5
ERR598942_GL1124304	SRR10912790_GL0087456	similarity_link	8.33
ERR598942_GL1124304	SRR4030059_GL0008324	similarity_link	22.4
ERR598942_GL1124304	SRR5712690_GL0003908	similarity_link	32.38
ERR598942_GL1124304	SRR10072858_GL11739383	similarity_link	35.54
ERR598942_GL1124304	SRR12157857_gene_id_394403	similarity_link	24.86
ERR598942_GL1124304	SRR7609610_GL0132768	similarity_link	20.53
ERR598942_GL1124304	SRR5820075_GL2762959	similarity_link	21.05
ERR598942_GL1124304	SRR5754713_GL0168501	similarity_link	25.13
ERR598942_GL1124304	SRR7054464_GL0031411	similarity_link	20.9
ERR598942_GL1124304	SRR11624237_GL0366798	similarity_link	23.38
ERR598942_GL1124304	SRR10018916_GL2200980	similarity_link	27.17
ERR598942_GL1124304	SRR9663116_GL0508921	similarity_link	26.7
ERR598942_GL1124304	SRR9663116_GL1342084	similarity_link	30.81
ERR598942_GL1124304	ERR598942_GL2073855	similarity_link	34.21
ERR598942_GL1124304	SRR7615962_GL4615040	similarity_link	30.53
ERR598942_GL0216272	SRR5213598_GL1852227	similarity_link	21.8
ERR598942_GL0216272	SRR8088272_GL0062831	similarity_link	15.87
ERR598942_GL0216272	SAMN14511311_gene_id_77418	similarity_link	20.91
ERR598942_GL0216272	SRR6826350_GL0083842	similarity_link	16.83
ERR598942_GL0216272	SRR10912790_GL0087456	similarity_link	5.71
ERR598942_GL0216272	SRR4030059_GL0008324	similarity_link	18.18
ERR598942_GL0216272	ERR598942_GL1124304	similarity_link	44.67
ERR598942_GL0216272	SRR5712690_GL0003908	similarity_link	32.21
ERR598942_GL0216272	SRR10072858_GL11739383	similarity_link	35.98
ERR598942_GL0216272	SRR12157857_gene_id_394403	similarity_link	22.78
ERR598942_GL0216272	SRR7609610_GL0132768	similarity_link	18.92
ERR598942_GL0216272	SRR5820075_GL2762959	similarity_link	22.27
ERR598942_GL0216272	SRR5754713_GL0168501	similarity_link	21.74
ERR598942_GL0216272	SRR7054464_GL0031411	similarity_link	18.32
ERR598942_GL0216272	SRR11624237_GL0366798	similarity_link	23.33
ERR598942_GL0216272	SRR10018916_GL2200980	similarity_link	24.42
ERR598942_GL0216272	SRR9663116_GL0508921	similarity_link	22.7
ERR598942_GL0216272	SRR9663116_GL1342084	similarity_link	28.28
ERR598942_GL0216272	ERR598942_GL2073855	similarity_link	25.11
ERR598942_GL0216272	SRR7615962_GL4615040	similarity_link	29.53
SRR5712690_GL0003908	SRR8088272_GL0062831	similarity_link	16.42
SRR5712690_GL0003908	SRR6826350_GL0083842	similarity_link	12.63
SRR5712690_GL0003908	SRR7609610_GL0132768	similarity_link	18.97
SRR5712690_GL0003908	SRR5820075_GL2762959	similarity_link	16.02
SRR5712690_GL0003908	SRR5754713_GL0168501	similarity_link	19.77
SRR5712690_GL0003908	SRR7054464_GL0031411	similarity_link	20.17
SRR5712690_GL0003908	SRR9663116_GL0508921	similarity_link	28.49
SRR5712690_GL0003908	SRR9663116_GL1342084	similarity_link	24.43
SRR5712690_GL0003908	SRR7615962_GL4615040	similarity_link	24.24
SRR10072858_GL11739383	SRR5213598_GL1852227	similarity_link	25.13
SRR10072858_GL11739383	SRR8088272_GL0062831	similarity_link	14.75
SRR10072858_GL11739383	SRR6826350_GL0083842	similarity_link	21.48
SRR10072858_GL11739383	SRR10912790_GL0087456	similarity_link	11.65
SRR10072858_GL11739383	SRR4030059_GL0008324	similarity_link	26.39
SRR10072858_GL11739383	SRR5712690_GL0003908	similarity_link	32.05
SRR10072858_GL11739383	SRR12157857_gene_id_394403	similarity_link	27.62
SRR10072858_GL11739383	SRR7609610_GL0132768	similarity_link	22.34
SRR10072858_GL11739383	SRR5820075_GL2762959	similarity_link	25.67
SRR10072858_GL11739383	SRR5754713_GL0168501	similarity_link	29.35
SRR10072858_GL11739383	SRR7054464_GL0031411	similarity_link	25.2
SRR10072858_GL11739383	SRR11624237_GL0366798	similarity_link	25.82
SRR10072858_GL11739383	SRR9663116_GL0508921	similarity_link	42.94
SRR10072858_GL11739383	SRR9663116_GL1342084	similarity_link	42.68
SRR10072858_GL11739383	SRR7615962_GL4615040	similarity_link	64.02
SRR12157857_gene_id_394403	SRR5213598_GL1852227	similarity_link	20.31
SRR12157857_gene_id_394403	SRR8088272_GL0062831	similarity_link	15.94
SRR12157857_gene_id_394403	SRR6826350_GL0083842	similarity_link	21.97
SRR12157857_gene_id_394403	SRR4030059_GL0008324	similarity_link	24
SRR12157857_gene_id_394403	SRR5712690_GL0003908	similarity_link	17.65
SRR12157857_gene_id_394403	SRR7609610_GL0132768	similarity_link	22.57
SRR12157857_gene_id_394403	SRR5820075_GL2762959	similarity_link	21.09
SRR12157857_gene_id_394403	SRR5754713_GL0168501	similarity_link	37.5
SRR12157857_gene_id_394403	SRR7054464_GL0031411	similarity_link	44.44
SRR12157857_gene_id_394403	SRR9663116_GL0508921	similarity_link	19.81
SRR12157857_gene_id_394403	SRR9663116_GL1342084	similarity_link	25.26
SRR12157857_gene_id_394403	SRR7615962_GL4615040	similarity_link	28.49
SRR5918613_GL2554490	SRR7042333_gene_id_16798	similarity_link	94.44
SRR11241201_GL2309521	SRR6207735_GL2649573	similarity_link	91.16
SRR11241201_GL2309521	SRR11241203_GL10331494	similarity_link	85.64
SRR11241201_GL2309521	SRR2657582_GL0192660	similarity_link	82.82
SRR11241203_GL10331494	SRR6207735_GL2649573	similarity_link	84.53
SRR10276843_GL0040469	SRR11646523_GL0219244	similarity_link	85.06
SRR10912885_GL0437033	SRR3933379.1.bin.10_02428	similarity_link	89.88
SRR10912885_GL0437033	SRR5821893_GL1122111	similarity_link	91.11
SRR7615607_GL3227987	SRR8554433_GL3242687	similarity_link	89.14
SRR10072860_GL2477765	SRR6207736_GL3910728	similarity_link	88.33
SRR10072860_GL2477765	SRR8554433_GL3242687	similarity_link	84.57
SRR4030055_GL0466145	SRR7615607_GL3227987	similarity_link	84.12
SRR4030055_GL0466145	SRR8554433_GL3242687	similarity_link	85.51
SRR10072860_GL6129718	SRR12358723_GL4901033	similarity_link	84.24
SRR10072860_GL6129718	SRR8554433_GL3242687	similarity_link	82.28
SRR10072860_GL13258176	SRR7615607_GL3227987	similarity_link	86.39
SRR10072860_GL13258176	SRR11241203_GL6815096	similarity_link	87.57
SRR10072860_GL13258176	SRR12358723_GL4901033	similarity_link	84.03
SRR10072860_GL13258176	SRR8554433_GL3242687	similarity_link	82.35
SRR11241200_GL7887317	SRR2657594_GL2947331	similarity_link	92.76
SRR11241200_GL7887317	SRR8554433_GL3242687	similarity_link	84.47
SRR7614707_GL0421034	SRR7615607_GL3227987	similarity_link	88.16
SRR12660725_GL8468514	SRR8157148_GL1040277	similarity_link	86.71
SRR9003145_GL4435543	SRR9003212_GL2140962	similarity_link	99.26
SRR10912819_GL0003199	SRR10912839_GL0202490	similarity_link	100
SRR11922363_GL1047790	SRR9003212_GL2494538	similarity_link	98.83
SRR7253994_GL0522958	SRR8639419_GL0046586	similarity_link	96.45
SRR2657594_GL2947331	SRR8554433_GL3242687	similarity_link	85.4
SRR11922363_GL1471037	SRR6144757_gene_id_338671	similarity_link	85.58
SRR11922363_GL1471037	SRR5468449_GL0530622	similarity_link	86.36
SRR10276843_GL0046810	SRR7991972_GL0011716	similarity_link	84.25
SRR2657594_GL2415909	SRR2657909_GL2496005	similarity_link	83.43
SRR6207736_GL3910728	SRR7615607_GL3227987	similarity_link	82.38
SRR6207736_GL3910728	SRR8554433_GL3242687	similarity_link	87.43
SRR5248164_GL2387309	SRR6207736_GL1765458	similarity_link	98.44
SRR7080634_GL1091690	SRR7132117_GL0054502	similarity_link	90.73
SRR3933379.1.bin.10_02428	SRR5821893_GL1122111	similarity_link	89.88
SRR6713922_GL0122857	SRR8088272_GL0282052	similarity_link	84.69
SRR2656927_GL0013965	SRR2657566_GL1643138	similarity_link	84.86
SRR2657909_GL0677732	SRR8554435_GL0436333	similarity_link	88.46
SRR2657219_GL1631876	SRR2657909_GL0677732	similarity_link	85.23
SRR9003145_GL2269720	SRR9003212_GL1569805	similarity_link	99.17
SRR7609610_GL0132768	SRR8088272_GL0062831	similarity_link	17.78
SRR7609610_GL0132768	SRR9663116_GL0508921	similarity_link	18.36
SRR7609610_GL0132768	SRR9663116_GL1342084	similarity_link	23.04
SRR7609610_GL0132768	SRR7615962_GL4615040	similarity_link	24.21
SRR11343838_GL0111588	SRR11343838_GL2425239	similarity_link	83.12
SRR5820075_GL2762959	SRR8088272_GL0062831	similarity_link	26
SRR5820075_GL2762959	SRR6826350_GL0083842	similarity_link	19.38
SRR5820075_GL2762959	SRR7609610_GL0132768	similarity_link	27.59
SRR5820075_GL2762959	SRR7054464_GL0031411	similarity_link	22.73
SRR5820075_GL2762959	SRR9663116_GL0508921	similarity_link	15.46
SRR5820075_GL2762959	SRR9663116_GL1342084	similarity_link	18.36
SRR5820075_GL2762959	SRR7615962_GL4615040	similarity_link	21.96
SRR2637690_GL0300358	SRR2657909_GL2501444	similarity_link	90.48
SRR6207735_GL6219842	SRR6207736_GL3910728	similarity_link	85.09
SRR6207735_GL6219842	SRR6207736_GL4146229	similarity_link	89.47
SRR2637708_GL0757151	SRR2657909_GL0621220	similarity_link	83.69
SRR2637708_GL0757151	SRR2657566_GL1786273	similarity_link	93.84
SRR2637708_GL0757151	SRR6207735_GL0290443	similarity_link	91.86
SRR2657219_GL0041891	SRR2657219_GL1132803	similarity_link	92.2
SRR10072858_GL12988816	SRR11241199_GL1200050	similarity_link	90.2
SRR10072858_GL12988816	SRR2657219_GL2288086	similarity_link	82.92
SRR2046221_gene_id_177618	SRR5820075_GL4123555	similarity_link	86.8
SRR2046221_gene_id_177618	SRR3952301_GL1481236	similarity_link	82.23
SRR2046221_gene_id_177618	SRR7479623_GL0026367	similarity_link	89.29
SRR2046221_gene_id_177618	SRR5506659_GL0264930	similarity_link	90.71
SRR2046221_gene_id_177618	SRR9663140_GL0193335	similarity_link	82.32
SRR11241202_GL3345355	SRR6470358_GL0312939	similarity_link	91.33
SRR2637690_GL2723918	SRR2657219_GL1767401	similarity_link	87.56
SRR2637690_GL2723918	SRR2637690_GL2977723	similarity_link	89.6
SRR11241203_GL6815096	SRR7615607_GL3227987	similarity_link	84.71
SRR11241203_GL6815096	SRR12358723_GL4901033	similarity_link	85.52
SRR11241203_GL6815096	SRR8554433_GL3242687	similarity_link	83.21
SRR7467836_gene_id_5121	SRR8639430_GL0396210	similarity_link	94.3
SRR12358723_GL4901033	SRR7615607_GL3227987	similarity_link	88.24
SRR12358723_GL4901033	SRR4030055_GL0466145	similarity_link	84.93
SRR12358723_GL4901033	SRR7614707_GL0421034	similarity_link	87.5
SRR12358723_GL4901033	SRR6207736_GL3910728	similarity_link	83.33
SRR12358723_GL4901033	SRR8554433_GL3242687	similarity_link	88
SRR11241199_GL8771096	SRR7066493_GL0479993	similarity_link	84.52
SRR11241199_GL8771096	SRR2637708_GL0757151	similarity_link	90.28
SRR11241199_GL8771096	SRR2657909_GL0621220	similarity_link	85.94
SRR11241199_GL8771096	SRR2657566_GL1786273	similarity_link	88.97
SRR11241199_GL8771096	SRR6207735_GL0290443	similarity_link	89.73
SRR2657219_GL1434084	SRR7216773_GL4531124	similarity_link	82.56
SRR7597297_GL1873765	SRR9663140_GL0193336	similarity_link	83.97
SRR7597297_GL1873765	SRR8062318_GL0674422	similarity_link	85.88
SRR7597297_GL1873765	SRR9684097_GL0042590	similarity_link	85.5
SRR10912829_GL0156556	SRR8639431_GL0381512	similarity_link	82.74
SRR5754713_GL0168501	SRR8088272_GL0062831	similarity_link	15.94
SRR5754713_GL0168501	SRR6826350_GL0083842	similarity_link	21.48
SRR5754713_GL0168501	SRR7609610_GL0132768	similarity_link	23.79
SRR5754713_GL0168501	SRR5820075_GL2762959	similarity_link	21.61
SRR5754713_GL0168501	SRR7054464_GL0031411	similarity_link	48.2
SRR5754713_GL0168501	SRR9663116_GL0508921	similarity_link	20.19
SRR5754713_GL0168501	SRR9663116_GL1342084	similarity_link	26.67
SRR5754713_GL0168501	SRR7615962_GL4615040	similarity_link	27.81
ERR598965_GL1289595	SRR9663140_GL0193336	similarity_link	86.67
ERR598965_GL1289595	GCA_900220055.1_GL0010540	similarity_link	100
ERR598965_GL1289595	SRR3952301_GL1481237	similarity_link	89.85
ERR598965_GL1289595	SRR5820075_GL4123554	similarity_link	88.78
SRR5820075_GL4123555	SRR7479623_GL0026367	similarity_link	86.15
SRR5820075_GL4123555	SRR9663140_GL0193335	similarity_link	86.29
SRR3952301_GL1481236	SRR5820075_GL4123555	similarity_link	89.85
SRR3952301_GL1481236	SRR9663140_GL0193335	similarity_link	85.35
SRR11048275_GL0246451	SRR7467836_gene_id_5121	similarity_link	89.95
SRR11048275_GL0246451	SRR8639430_GL0396210	similarity_link	92.23
SAMN03002196_gene_id_169212	SRR5820075_GL4123555	similarity_link	90.82
SAMN03002196_gene_id_169212	SRR3952301_GL1481236	similarity_link	86.22
SAMN03002196_gene_id_169212	SRR7479623_GL0026367	similarity_link	84.54
SAMN03002196_gene_id_169212	SRR9663140_GL0193335	similarity_link	83.67
SRR6269940.1_GL0013787	SRR8639426_GL0193142	similarity_link	88.04
SRR5917617.1.bin.26_00047	SRR8639426_GL0193142	similarity_link	89.13
SRR5917617.1.bin.26_00047	SRR8639426_GL0453485	similarity_link	83.07
SRR5917617.1.bin.26_00047	SRR6269940.1_GL0013787	similarity_link	82.63
SRR5917617.1.bin.26_00047	SRR6393398_GL0085435	similarity_link	90.2
SRR2657219_GL1210218	SRR7216773_GL14739722	similarity_link	83.04
SRR1249223_GL0075538	SRR2046221_gene_id_177618	similarity_link	83.17
SRR1249223_GL0075538	SRR5506659_GL0264930	similarity_link	90.62
SRR7054464_GL0031411	SRR8088272_GL0062831	similarity_link	8.93
SRR7054464_GL0031411	SRR7609610_GL0132768	similarity_link	20.53
SRR7054464_GL0031411	SRR9663116_GL0508921	similarity_link	15.95
SRR7054464_GL0031411	SRR9663116_GL1342084	similarity_link	22.3
SRR7054464_GL0031411	SRR7615962_GL4615040	similarity_link	24.44
SRR11241203_GL8007017	SRR4030055_GL0466145	similarity_link	87.3
SRR11241203_GL8007017	SRR12358723_GL4901033	similarity_link	82.98
GCA_900220055.1_GL0010540	SRR9663140_GL0193336	similarity_link	82.71
GCA_900220055.1_GL0010540	SRR3952301_GL1481237	similarity_link	88.15
GCA_900220055.1_GL0010540	SRR5820075_GL4123554	similarity_link	85.82
SRR3952301_GL1481237	SRR9663140_GL0193336	similarity_link	84.62
SRR3952301_GL1481237	SRR5820075_GL4123554	similarity_link	91.84
GCA_001049115.1_GL0068591	SRR8639426_GL0193142	similarity_link	86.96
GCA_001049115.1_GL0068591	SRR5917617.1.bin.26_00047	similarity_link	91.05
GCA_001049115.1_GL0068591	SRR10276800_GL0027075	similarity_link	86.63
GCA_001049115.1_GL0068591	SRR10912835_GL0289481	similarity_link	82.64
GCA_001049115.1_GL0068591	SRR5877443_GL0754779	similarity_link	83.15
GCA_001049115.1_GL0068591	SRR6393398_GL0085435	similarity_link	86.27
SRR7130820_GL0902788	SRR7130820_GL2339226	similarity_link	93.2
SRR5468225_GL0757560	SRR5468225_GL0806426	similarity_link	85.06
SRR12660349_GL5144345	SRR1699482_GL0878654	similarity_link	84.44
SAMN03002195_gene_id_9468	SRR10912885_GL0437033	similarity_link	83.33
SAMN03002195_gene_id_9468	SRR3933379.1.bin.10_02428	similarity_link	85.12
SRR10694903_GL0233168	SRR7615688_GL2402132	similarity_link	82.22
SRR10694903_GL0233168	SRR10694904_GL0232407	similarity_link	99.15
SRR100298_GL0002528	SRR7597297_GL1873765	similarity_link	82.35
SRR100298_GL0002528	SRR9684097_GL0042590	similarity_link	85.71
SRR100298_GL0002528	SRR3577068_GL0022945	similarity_link	83.54
SRR11624237_GL0366798	SRR5213598_GL1852227	similarity_link	91.99
SRR11624237_GL0366798	SRR8088272_GL0062831	similarity_link	21.35
SRR11624237_GL0366798	SRR6826350_GL0083842	similarity_link	20.51
SRR11624237_GL0366798	SRR4030059_GL0008324	similarity_link	29.17
SRR11624237_GL0366798	SRR5712690_GL0003908	similarity_link	17.81
SRR11624237_GL0366798	SRR12157857_gene_id_394403	similarity_link	25.67
SRR11624237_GL0366798	SRR7609610_GL0132768	similarity_link	33.19
SRR11624237_GL0366798	SRR5820075_GL2762959	similarity_link	96.15
SRR11624237_GL0366798	SRR5754713_GL0168501	similarity_link	24.34
SRR11624237_GL0366798	SRR7054464_GL0031411	similarity_link	25.74
SRR11624237_GL0366798	SRR9663116_GL0508921	similarity_link	18.59
SRR11624237_GL0366798	SRR9663116_GL1342084	similarity_link	22.22
SRR11624237_GL0366798	SRR7615962_GL4615040	similarity_link	24.83
SRR2637690_GL3020474	SRR7066493_GL0479993	similarity_link	83.33
SRR2637690_GL3020474	SRR2657594_GL0980692	similarity_link	84.4
SRR2637690_GL3020474	SRR6207735_GL1448155	similarity_link	82.4
SRR2657594_GL0851503	SRR2657909_GL2604505	similarity_link	89.3
SRR10276787_GL0044204	SRR6269940.1_GL0013787	similarity_link	83.61
SRR10276787_GL0044204	SRR10276800_GL0027075	similarity_link	83.72
SRR10276787_GL0044204	SRR10912835_GL0289481	similarity_link	84.13
SRR10912851_GL0515316	SRR7597297_GL1873765	similarity_link	83.53
SRR7130819_GL0657637	SRR7130820_GL0902788	similarity_link	92.45
SRR7130819_GL0657637	SRR7130820_GL2339226	similarity_link	95.37
ERR1679395_gene_id_192558	SRR2046221_gene_id_177618	similarity_link	93.17
ERR1679395_gene_id_192558	SRR5820075_GL4123555	similarity_link	88.12
ERR1679395_gene_id_192558	SAMN03002196_gene_id_169212	similarity_link	83.12
ERR1679395_gene_id_192558	SRR1249223_GL0075538	similarity_link	87.01
ERR1679395_gene_id_192558	SRR7479623_GL0026367	similarity_link	90.57
ERR1679395_gene_id_192558	SRR5506659_GL0264930	similarity_link	95
ERR1679395_gene_id_192558	SRR3952301_GL1481237	similarity_link	82.39
ERR1679395_gene_id_192558	ERR598965_GL1714774	similarity_link	93.53
ERR1679395_gene_id_192558	SAMEA4473313_DM_0004308637	similarity_link	100
SRR10018916_GL2200980	SRR5213598_GL1852227	similarity_link	24.85
SRR10018916_GL2200980	SRR8088272_GL0062831	similarity_link	10.84
SRR10018916_GL2200980	SRR6826350_GL0083842	similarity_link	20.75
SRR10018916_GL2200980	SRR10912790_GL0087456	similarity_link	16.51
SRR10018916_GL2200980	SRR4030059_GL0008324	similarity_link	59.67
SRR10018916_GL2200980	SRR5712690_GL0003908	similarity_link	16.36
SRR10018916_GL2200980	SRR10072858_GL11739383	similarity_link	28.04
SRR10018916_GL2200980	SRR12157857_gene_id_394403	similarity_link	23.77
SRR10018916_GL2200980	SRR7609610_GL0132768	similarity_link	25.86
SRR10018916_GL2200980	SRR5820075_GL2762959	similarity_link	24.55
SRR10018916_GL2200980	SRR5754713_GL0168501	similarity_link	18.94
SRR10018916_GL2200980	SRR7054464_GL0031411	similarity_link	22.41
SRR10018916_GL2200980	SRR11624237_GL0366798	similarity_link	23.93
SRR10018916_GL2200980	SRR9663116_GL0508921	similarity_link	23.38
SRR10018916_GL2200980	SRR9663116_GL1342084	similarity_link	25.26
SRR10018916_GL2200980	SRR7615962_GL4615040	similarity_link	26.49
SRR10276800_GL0027075	SRR8639426_GL0193142	similarity_link	95.65
SRR10276800_GL0027075	SRR6269940.1_GL0013787	similarity_link	88.24
SRR10276800_GL0027075	SRR5917617.1.bin.26_00047	similarity_link	89.3
SRR10276800_GL0027075	SRR11434628_GL0055563	similarity_link	82.14
SRR10276800_GL0027075	SRR10912835_GL0289481	similarity_link	85.59
SRR10276800_GL0027075	SRR5877443_GL0754779	similarity_link	91.85
SRR10276800_GL0027075	SRR6393398_GL0085435	similarity_link	84
SRR10694904_GL0232407	SRR7615688_GL2402132	similarity_link	82.43
SRR11434628_GL0055563	SRR8639426_GL0453485	similarity_link	90.23
SRR11434628_GL0055563	SRR5917617.1.bin.26_00047	similarity_link	83.63
SRR11434628_GL0055563	SRR5877443_GL0754779	similarity_link	83.03
SRR11434628_GL0055563	SRR6393398_GL0085435	similarity_link	83.53
GCA_900220245.1_GL0081615	SRR7130820_GL0838296	similarity_link	100
SRR10912835_GL0289481	SRR8639426_GL0193142	similarity_link	84.35
SRR10912835_GL0289481	SRR8639426_GL0453485	similarity_link	92.74
SRR10912835_GL0289481	SRR6269940.1_GL0013787	similarity_link	82.54
SRR10912835_GL0289481	SRR5917617.1.bin.26_00047	similarity_link	85.95
SRR10912835_GL0289481	SRR11434628_GL0055563	similarity_link	91.94
SRR10912835_GL0289481	SRR5877443_GL0754779	similarity_link	83.48
SRR6207736_GL4967902	SRR7615688_GL2402132	similarity_link	89.52
SRR3577068_GL0022945	SRR7597297_GL1873765	similarity_link	90.6
SRR3577068_GL0022945	SRR9684097_GL0042590	similarity_link	84.8
SRR12660002_GL0040295	SRR12660725_GL10590636	similarity_link	98.53
SRR5820075_GL4123554	SRR9663140_GL0193336	similarity_link	82.99
SRR2657219_GL0060874	SRR2657219_GL2345904	similarity_link	86.53
SRR2637690_GL2977723	SRR2657219_GL1767401	similarity_link	89.08
SRR2657582_GL0192660	SRR6207735_GL2649573	similarity_link	85.89
SRR2637690_GL1024751	SRR7615688_GL2402132	similarity_link	89.93
SRR2637690_GL1024751	SRR6207736_GL4967902	similarity_link	87.2
SRR2637690_GL1024751	SRR7216773_GL0572691	similarity_link	82.93
SRR12358723_GL7254204	SRR12660725_GL4118735	similarity_link	87.43
SRR12660725_GL4953667	SRR1699482_GL0878654	similarity_link	82.26
SRR11241201_GL5087216	SRR7615688_GL2402132	similarity_link	83.67
SRR11241201_GL5087216	SRR2637690_GL1024751	similarity_link	82.2
SRR11241201_GL5087216	SRR2637690_GL0465488	similarity_link	83.8
SRR7179814_GL0341641	SRR7615941_GL0539806	similarity_link	91.87
SRR2657594_GL0025824	SRR7216773_GL7615228	similarity_link	89.45
SRR2637690_GL0465488	SRR2637690_GL1024751	similarity_link	84.75
SRR2637690_GL0465488	SRR7216773_GL0572691	similarity_link	86.78
SRR7216773_GL0572691	SRR7615688_GL2402132	similarity_link	83.87
SRR2657566_GL1643138	SRR2657909_GL1819201	similarity_link	85.84
SRR2656923_GL0123568	SRR2657582_GL0225114	similarity_link	85.19
SRR2656923_GL0123568	SRR2657909_GL2604505	similarity_link	82.35
SRR2656923_GL0123568	SRR2657219_GL2288086	similarity_link	82.63
SRR5877443_GL0754779	SRR8639426_GL0193142	similarity_link	93.44
SRR5877443_GL0754779	SRR6269940.1_GL0013787	similarity_link	89.67
SRR5877443_GL0754779	SRR5917617.1.bin.26_00047	similarity_link	86.41
ERR1679395_gene_id_255363	SRR8639426_GL0193142	similarity_link	96.2
ERR1679395_gene_id_255363	SRR6269940.1_GL0013787	similarity_link	88.04
ERR1679395_gene_id_255363	SRR5917617.1.bin.26_00047	similarity_link	89.13
ERR1679395_gene_id_255363	GCA_001049115.1_GL0068591	similarity_link	86.41
