	SRR7216773_GL6008832	SRR8554433_GL0238971	SRR2657566_GL2994918	SRR2657594_GL0751689	SRR2657594_GL2630929	SRR2657219_GL0658342	SRR2657219_GL0330748	SRR2657219_GL1450739	SRR11241201_GL2111898	SRR2637690_GL1788878	SRR2637690_GL2679400	SRR2657594_GL0752158	SRR2657909_GL1420420	SRR2657909_GL0725351	SRR8554435_GL0436333	SRR2637690_GL3126056	SRR2657594_GL1824415	SRR2657594_GL0752159	SRR2657219_GL1631876	SRR2657909_GL0677732	SRR2657594_GL2697547	SRR2657219_GL0848858	SRR8554433_GL1772302	SRR2657208_GL0409165	SRR2657909_GL2012367	SRR2657594_GL0679271	SRR8554433_GL2053214	SRR2656927_GL0013965	SRR2657566_GL1643138	SRR2657909_GL1819201	SRR7479606_GL0022867	SRR5204267_GL0264131	SRR9019759_GL0076292	SRR12938498_GL1375097	SRR7479789_GL0047346	SRR11563580_GL0693617	SRR12939211_GL0566986	SRR9019729_GL0527329	SRR2657208_GL0816236	SRR7216773_GL5896028	SRR7130819_GL0657637	SRR7130820_GL0902788	SRR7130820_GL2339226	SRR11343838_GL2397288	SRR7216773_GL10935741	SRR7615941_GL0539806	SRR7179814_GL0341641	SRR7216773_GL7330390	SRR7216773_GL6771453	SRR7216773_GL4758456	SRR2657219_GL0622754	SRR7216773_GL10597300	SRR7216773_GL14739722	SRR7216773_GL1495803	SRR2657219_GL1210218
SRR2637690_GL2679400	47.56	66.78	67.54	74.06	72.2	70.62	73.33	78.67	92.23	89.18	100	54.85	51.99	50	50.9	58.33	62.04	50.34	57.88	53.76	56.22	67.73	65.6	64.78	60.42	62.37	53	56.42	52.16	55.22	31.84	31.84	29.85	30.47	32.12	30.6	28.4	31.39	25.51	31.64	30.46	30.74	30.12	30.46	32.6	32.58	31.61	30.45	31.34	29.7	30.08	30.52	32.08	30.6	32.33
SRR2657594_GL0752158	48.78	57.27	58.72	53.69	58	56.02	52.88	50	48.97	52.75	54.85	100	51.77	50.79	51.76	55.16	57.66	60.75	53.61	55.11	56.38	59.79	60.42	61.25	58.21	59.42	49.56	57.41	55.07	56.28	27.24	26.28	26.91	27.06	27.6	26.3	27.73	24.77	24.75	27.64	29.61	28.08	27.86	29.14	28.95	28.41	28.85	28.52	30.37	28.15	28.18	29.68	28.25	27.32	28.73
SRR2657909_GL1420420	46.63	54.18	56.48	53.82	51.98	47.67	47.99	48.91	46.04	50	51.99	51.77	100	72.49	70.59	66.55	71.77	63.28	65.98	77.84	77.66	57.75	56.01	60.38	62.19	62.72	67.72	71.69	70.11	74.25	28.62	29.45	27.17	27.73	28.5	27.68	29.96	27.35	28.28	26.71	31.13	28.35	27.38	27.59	32.16	27.78	27.74	29.74	30.6	29	27.59	31.17	28.73	31.69	29.21
SRR2657909_GL0725351	47.24	50.54	51.87	51.61	51.08	44.68	48.39	51.08	48.92	49.46	50	50.79	72.49	100	71.76	68.78	71.96	78.31	71.43	73.33	74.84	57.75	55.32	62.26	60.64	62.77	66.49	73.72	73.02	75.66	28.49	28.65	28.49	28.09	26.82	26.26	30.17	26.9	28.18	25	29.14	27.98	27.06	25.93	26.11	25.97	25.81	26.67	29.85	27.78	26.67	29.87	25.56	22.64	27.07
SRR8554435_GL0436333	49.02	54.49	54.76	58.08	56.29	46.75	50.3	52.69	50.9	50.9	50.9	51.76	70.59	71.76	100	71.18	72.35	72.35	80	88.46	86.67	57.74	61.54	60.67	64.5	65.68	66.47	65.99	64.71	64.71	34.38	35	33.12	33.12	30.62	30.62	33.75	29.41	34.65	29.52	34.27	34.38	33.95	29.22	32.1	30.67	31.51	32.1	32.81	33.33	30.86	33.1	32.1	30.61	31.9
SRR2637690_GL3126056	51.53	57.4	57.71	60.07	56.35	47.34	58.61	57.93	58.58	57.97	58.33	55.16	66.55	68.78	71.18	100	77.82	71.17	75.81	77.84	79.26	62.59	63.57	66.04	66.43	67.77	65.23	68.69	64.77	70.74	31.64	31.76	31.25	30.56	28.57	28.91	29.64	27.4	29.95	26.44	27.15	27.76	27.53	24.71	27.75	28.29	27.1	26.46	30.6	27.63	28.02	27.27	28.02	27.32	27.52
SRR2657594_GL1824415	49.08	60.82	60.98	64.9	55.84	51.6	60.41	60.82	61.22	61.63	62.04	57.66	71.77	71.96	72.35	77.82	100	78.23	79.44	76.7	77.66	65.85	63.97	61.64	68.02	69.23	69.92	74.3	72.98	74.24	32.2	31.91	31.36	30.64	29.1	29.24	30.51	28.71	31.74	26.97	29.8	29.78	29.96	29.31	30.84	30.25	29.68	29.11	31.34	32.07	29.96	31.17	29.54	28.83	29.83
SRR2657594_GL0752159	50.31	58.36	60.41	53.22	53.81	45.74	48.63	47.3	45.54	48.69	50.34	60.75	63.28	78.31	72.35	71.17	78.23	100	68.04	81.82	81.91	58.63	57.19	62.89	63.18	65.93	63.05	71.5	69.39	78.6	28.68	28.78	26.47	27.38	28.57	26.97	28.85	26.94	28.43	26.1	28.48	27.63	26.64	28.16	28.63	27.04	27.1	26.39	31.34	27.88	26.21	27.92	25.75	26.78	26.97
SRR2657219_GL1631876	53.99	54.39	55.94	60.87	55.33	47.34	58.15	60.22	58.43	57.88	57.88	53.61	65.98	71.43	80	75.81	79.44	68.04	100	85.23	85.11	62.77	60.5	63.52	66.3	67.9	66.43	70.56	63.54	70.31	31.37	31.25	31.13	29.76	28.57	29.02	30.04	26.94	31.72	27.31	32.45	30.74	30.89	29.31	31.28	31.52	30.97	30.08	35.07	31.25	30.23	33.77	30.08	29.67	31.13
SRR2657909_GL0677732	48.92	57.23	58.05	59.54	56.07	45.73	53.18	56.07	53.18	53.76	53.76	55.11	77.84	73.33	88.46	77.84	76.7	81.82	85.23	100	94.71	62.07	62.29	63.97	66.86	68.57	69.32	67.66	70.45	74.43	31.74	31.74	30.54	30.54	28.31	28.14	31.14	26.92	33.88	27.91	29.46	28.99	28.99	27.22	29.76	30.18	28.79	30.36	33.33	31.55	29.76	30.53	28.57	29.91	30.18
SRR2657594_GL2697547	50.38	58.92	60.22	62.16	57.49	46.2	57.3	60	56.22	56.76	56.22	56.38	77.66	74.84	86.67	79.26	77.66	81.91	85.11	94.71	100	62.9	61.5	64.62	64.71	66.31	70.21	68.11	71.81	73.94	33.33	33.33	32.22	32.22	29.81	31.67	32.78	29.89	34.53	30.27	31.45	32.42	32.42	28.48	32.04	32.97	29.92	32.6	34.86	32.6	30.94	31.75	31.49	31.85	32.97
SRR2657219_GL0848858	55.83	65.6	66.55	71.58	70.79	57.29	63.8	67.15	70.33	69.5	67.73	59.79	57.75	57.75	57.74	62.59	65.85	58.63	62.77	62.07	62.9	100	71.93	76.25	67.49	71.68	56.03	64.98	57.6	60.61	27.69	28.19	26.54	25.78	26.42	26.92	26.85	25.11	30.32	28.68	28.48	27.31	27.09	25.86	31.28	30.23	28.39	30.74	32.84	30.74	29.57	29.22	29.57	30.6	30.62
SRR8554433_GL1772302	55.21	61.81	62.07	66.08	60.89	59.07	60.22	62.45	67.4	65.6	65.6	60.42	56.01	55.32	61.54	63.57	63.97	57.19	60.5	62.29	61.5	71.93	100	76.88	70.42	72.14	57.09	65.6	57.24	59.91	31.92	32.05	31.54	31.64	30.57	30.77	30.74	28.7	30.32	29.32	31.13	29.72	29.08	28.16	33.92	32.56	31.61	31.52	32.84	33.07	32.68	31.17	30.74	32.24	31.78
SRR2657208_GL0409165	52.83	66.04	64.38	66.04	61.64	56.6	61.64	65.41	63.52	66.04	64.78	61.25	60.38	62.26	60.67	66.04	61.64	62.89	63.52	63.97	64.62	76.25	76.88	100	70.62	72.5	59.75	61.42	59.12	63.52	34.64	32.03	32.03	32.03	33.33	33.99	33.99	31.67	37.65	36.13	31.79	32.17	32.41	30.66	32.9	32.9	31.17	34.19	36.57	34.84	34.19	32.03	31.61	33.33	34.84
SRR2657909_GL2012367	55.21	59.93	60.56	64.16	61.76	54.87	60.71	60.07	62.41	60.78	60.42	58.21	62.19	60.64	64.5	66.43	68.02	63.18	66.3	66.86	64.71	67.49	70.42	70.62	100	91.84	59.43	76.82	61.7	64.22	33.2	31.78	31.27	30.86	30.05	28.96	30.35	26.46	29.95	28.84	29.8	29.03	28.4	27.59	30.4	30.74	29.03	30.08	32.09	31.25	32.03	29.22	28.52	28.02	29.57
SRR2657594_GL0679271	58.28	63.31	62.5	65.59	63.73	55.9	61.23	61.59	63.5	63.8	62.37	59.42	62.72	62.77	65.68	67.77	69.23	65.93	67.9	68.57	66.31	71.68	72.14	72.5	91.84	100	61.37	77.27	63.31	65.09	32.3	31.25	31.13	29.69	29.53	28.4	29.96	26.01	29.73	28.3	29.14	28.86	28.23	27.01	29.96	30.98	29.03	30.31	32.84	31.5	31.89	29.87	28.74	28.89	30.2
SRR8554433_GL2053214	45.06	60.06	60.87	52.51	52.24	47.4	47.97	48.9	50.95	52.9	53	49.56	67.72	66.49	66.47	65.23	69.92	63.05	66.43	69.32	70.21	56.03	57.09	59.75	59.43	61.37	100	71.56	77.17	74.46	29.21	29.41	28.68	28.63	30.21	28.62	29.02	29.73	29.44	29.45	32.45	30.77	29.77	30.46	33.78	30.6	31.17	31.84	33.58	31.09	30.77	32.03	30.83	32.97	31.7
SRR2656927_GL0013965	46.92	58.72	57.99	61.93	54.39	43.83	55.96	57.34	55.96	57.34	56.42	57.41	71.69	73.72	65.99	68.69	74.3	71.5	70.56	67.66	68.11	64.98	65.6	61.42	76.82	77.27	71.56	100	84.86	77.5	30.29	31.25	30.29	29.33	29.01	28.37	30.29	28.29	30.54	25.93	30.58	30	29.05	28.4	32.14	31.55	29.03	30.73	33.02	32.2	31.71	31.71	30.24	32.1	31.55
SRR2657566_GL1643138	46.01	64.53	68.79	52.67	53.23	46.88	48.82	48.75	50.16	51.77	52.16	55.07	70.11	73.02	64.71	64.77	72.98	69.39	63.54	70.45	71.81	57.6	57.24	59.12	61.7	63.31	77.17	84.86	100	85.84	28.25	27.47	27.74	28.12	28.5	27.31	29.57	26.01	27.27	25.72	32.45	30.27	29.28	28.74	32.6	29.26	29.68	30.86	32.09	30.11	29.82	31.17	29.48	30.6	31.09
SRR2657909_GL1819201	46.63	56.52	57.14	56.09	51.74	47.4	53.91	56.09	54.35	55.65	55.22	56.28	74.25	75.66	64.71	70.74	74.24	78.6	70.31	74.43	73.94	60.61	59.91	63.52	64.22	65.09	74.46	77.5	85.84	100	30.49	30.18	30.94	29.73	27.98	29.6	31.39	28.04	32.45	27.63	29.8	29.72	29.91	27.01	29.55	30.77	28.39	30	30.6	30.91	30.45	31.17	29.09	30.82	30.77
SRR7479606_GL0022867	38.22	32.71	32.96	31.58	33.51	31.69	32.06	31.46	31.32	31.09	31.84	27.24	28.62	28.49	34.38	31.64	32.2	28.68	31.37	31.74	33.33	27.69	31.92	34.64	33.2	32.3	29.21	30.29	28.25	30.49	100	84.83	81.1	83.96	80.71	80.07	80	82.25	46.48	53.31	64.24	65.22	63.67	56	54.98	58.95	63.87	56.89	61.19	53.87	54.93	57.14	59.15	55.26	56.69
SRR5204267_GL0264131	34.62	31.14	30.66	31.32	32.64	30.77	31.3	32.34	31.46	30.86	31.84	26.28	29.45	28.65	35	31.76	31.91	28.78	31.25	31.74	33.33	28.19	32.05	32.03	31.78	31.25	29.41	31.25	27.47	30.18	84.83	100	77.35	82.84	82.14	80.07	82.2	84.85	47.2	52.4	62.91	64.41	64.31	58.29	59.57	58.28	63.64	56.25	62.69	53.45	53.11	58.82	59.51	57.37	56.54
SRR9019759_GL0076292	35.67	29.93	29.09	28.57	29.9	28.96	28.9	28.89	27.99	28.15	29.85	26.91	27.17	28.49	33.12	31.25	31.36	26.47	31.13	30.54	32.22	26.54	31.54	32.03	31.27	31.13	28.68	30.29	27.74	30.94	81.1	77.35	100	93.28	88.32	85.86	86.42	87.45	48.6	52.22	64.9	64.41	64.31	54.29	57.58	58.42	63.23	57.44	63.43	52.23	54.46	57.79	57.19	55.26	55.28
SRR12938498_GL1375097	34.62	30.08	29.18	28.91	29.02	28.57	29.25	30.47	28.91	28.91	30.47	27.06	27.73	28.09	33.12	30.56	30.64	27.38	29.76	30.54	32.22	25.78	31.64	32.03	30.86	29.69	28.63	29.33	28.12	29.73	83.96	82.84	93.28	100	87.76	86.57	88.26	89.61	52.6	55.06	63.58	67.45	67.32	53.71	56.09	60.08	61.69	57.85	61.19	55.73	57.25	57.52	58.4	55.61	57.41
SRR7479789_GL0047346	33.76	32.64	31.44	30.05	30.05	30.6	32.12	32.12	30.57	31.09	32.12	27.6	28.5	26.82	30.62	28.57	29.1	28.57	28.57	28.31	29.81	26.42	30.57	33.33	30.05	29.53	30.21	29.01	28.5	27.98	80.71	82.14	88.32	87.76	100	90.36	90.86	100	50.83	57.14	63.58	65.03	65.41	57.8	59.69	59.9	64.52	60	64.93	58.12	59.16	59.74	60.21	54.78	58.85
SRR11563580_GL0693617	35.03	31.37	30.51	29.32	30.93	30.05	30.42	31.34	28.95	29.1	30.6	26.3	27.68	26.26	30.62	28.91	29.24	26.97	29.02	28.14	31.67	26.92	30.77	33.99	28.96	28.4	28.62	28.37	27.31	29.6	80.07	80.07	85.86	86.57	90.36	100	90.57	91.34	49.07	53.92	68.21	65.12	65.72	56.57	61.9	61.17	68.39	59.86	69.4	55.52	57.24	62.34	59.65	58.95	58.45
SRR12939211_GL0566986	36.31	30.74	29.84	28.02	29.9	27.87	29.53	29.18	26.85	27.63	28.4	27.73	29.96	30.17	33.75	29.64	30.51	28.85	30.04	31.14	32.78	26.85	30.74	33.99	30.35	29.96	29.02	30.29	29.57	31.39	80	82.2	86.42	88.26	90.86	90.57	100	92.21	54.26	57.58	66.89	68.53	68.77	57.14	59.31	61.15	65.81	60.47	67.91	59.07	59.85	62.34	59.85	56.83	58.85
SRR9019729_GL0527329	33.33	30.04	28.57	29.6	30	28.86	29.55	30.94	29.6	29.6	31.39	24.77	27.35	26.9	29.41	27.4	28.71	26.94	26.94	26.92	29.89	25.11	28.7	31.67	26.46	26.01	29.73	28.29	26.01	28.04	82.25	84.85	87.45	89.61	100	91.34	92.21	100	54.26	57.83	64.41	69.13	68.26	58.12	57.87	60.62	64.46	59.82	66.99	57.33	59.11	60.83	61.33	57.92	60.62
SRR2657208_GL0816236	27.27	28.28	27.27	29.9	32.79	23.42	27.75	27.55	26.8	25.51	25.51	24.75	28.28	28.18	34.65	29.95	31.74	28.43	31.72	33.88	34.53	30.32	30.32	37.65	29.95	29.73	29.44	30.54	27.27	32.45	46.48	47.2	48.6	52.6	50.83	49.07	54.26	54.26	100	53.02	51.22	50.93	50.46	56.91	60	54.88	54.12	56.54	62.69	58.41	56.07	63.1	58.41	59.69	58.41
SRR7216773_GL5896028	32.7	29.24	29.14	30.88	33.5	31.41	31.85	31.64	31.5	30.55	31.64	27.64	26.71	25	29.52	26.44	26.97	26.1	27.31	27.91	30.27	28.68	29.32	36.13	28.84	28.3	29.45	25.93	25.72	27.63	53.31	52.4	52.22	55.06	57.14	53.92	57.58	57.83	53.02	100	60.49	54.14	52.74	59.36	65.7	63.25	66.47	68	65.75	60.47	62.46	66.27	66.44	63.45	65.42
SRR7130819_GL0657637	34.44	32.45	30.92	30.46	31.13	29.8	27.81	30.46	29.8	31.13	30.46	29.61	31.13	29.14	34.27	27.15	29.8	28.48	32.45	29.46	31.45	28.48	31.13	31.79	29.8	29.14	32.45	30.58	32.45	29.8	64.24	62.91	64.9	63.58	63.58	68.21	66.89	64.41	51.22	60.49	100	95.33	97.37	60.42	64.81	66.67	67.28	69.75	71.03	66.67	61.11	66.67	65.43	56.1	66.05
SRR7130820_GL0902788	34.25	30.65	29.77	30.98	33.33	29.65	30.56	31.52	30.2	29.57	30.74	28.08	28.35	27.98	34.38	27.76	29.78	27.63	30.74	28.99	32.42	27.31	29.72	32.17	29.03	28.86	30.77	30	30.27	29.72	65.22	64.41	64.41	67.45	65.03	65.12	68.53	69.13	50.93	54.14	95.33	100	93.54	59.14	62.88	62.5	67.97	62.59	73.33	61.32	59.93	65.13	63.25	59.39	62.06
SRR7130820_GL2339226	34.46	29.66	29.17	30.74	31.89	29.31	30.31	31.27	29.57	29.34	30.12	27.86	27.38	27.06	33.95	27.53	29.96	26.64	30.89	28.99	32.42	27.09	29.08	32.41	28.4	28.23	29.77	29.05	29.28	29.91	63.67	64.31	64.31	67.32	65.41	65.72	68.77	68.26	50.46	52.74	97.37	93.54	100	58.06	62.77	62.41	67.74	62.15	72.26	60.21	59.17	65.58	63.16	59.39	61.27
SRR11343838_GL2397288	28.57	29.89	28.57	29.89	30.64	27.78	29.89	31.61	29.31	29.89	30.46	29.14	27.59	25.93	29.22	24.71	29.31	28.16	29.31	27.22	28.48	25.86	28.16	30.66	27.59	27.01	30.46	28.4	28.74	27.01	56	58.29	54.29	53.71	57.8	56.57	57.14	58.12	56.91	59.36	60.42	59.14	58.06	100	63.24	63.64	68.24	63.78	66.15	69.35	66.13	80.95	72.04	54.84	67.38
SRR7216773_GL10935741	32.08	31.72	30.26	30.4	32.98	32.78	32.16	32.6	33.04	32.6	32.6	28.95	32.16	26.11	32.1	27.75	30.84	28.63	31.28	29.76	32.04	31.28	33.92	32.9	30.4	29.96	33.78	32.14	32.6	29.55	54.98	59.57	57.58	56.09	59.69	61.9	59.31	57.87	60	65.7	64.81	62.88	62.77	63.24	100	75.21	78.92	82.99	80.69	70.66	69.01	70.3	74.38	73.91	72.31
SRR7615941_GL0539806	33.33	30.37	29.52	30.94	32.29	29.83	31.3	32.21	31.7	30.71	32.58	28.41	27.78	25.97	30.67	28.29	30.25	27.04	31.52	30.18	32.97	30.23	32.56	32.9	30.74	30.98	30.6	31.55	29.26	30.77	58.95	58.28	58.42	60.08	59.9	61.17	61.15	60.62	54.88	63.25	66.67	62.5	62.41	63.64	75.21	100	93.41	77.15	82.19	67	65.68	67.47	77.78	75.63	76.69
SRR7179814_GL0341641	30.97	31.61	30.13	29.68	30.97	32.9	31.61	30.97	30.32	30.97	31.61	28.85	27.74	25.81	31.51	27.1	29.68	27.1	30.97	28.79	29.92	28.39	31.61	31.17	29.03	29.03	31.17	29.03	29.68	28.39	63.87	63.64	63.23	61.69	64.52	68.39	65.81	64.46	54.12	66.47	67.28	67.97	67.74	68.24	78.92	93.41	100	80.84	81.51	73.65	69.46	69.28	79.04	67.06	74.85
SRR7216773_GL7330390	34.59	31.6	31.11	29.17	35.6	32.78	30.65	30.45	29.92	29.7	30.45	28.52	29.74	26.67	32.1	26.46	29.11	26.39	30.08	30.36	32.6	30.74	31.52	34.19	30.08	30.31	31.84	30.73	30.86	30	56.89	56.25	57.44	57.85	60	59.86	60.47	59.82	56.54	68	69.75	62.59	62.15	63.78	82.99	77.15	80.84	100	85.62	70.86	72.52	74.1	75.68	74.36	76.53
SRR7216773_GL6771453	35.07	35.07	32.59	31.34	34.33	31.34	31.34	32.09	29.85	31.34	31.34	30.37	30.6	29.85	32.81	30.6	31.34	31.34	35.07	33.33	34.86	32.84	32.84	36.57	32.09	32.84	33.58	33.02	32.09	30.6	61.19	62.69	63.43	61.19	64.93	69.4	67.91	66.99	62.69	65.75	71.03	73.33	72.26	66.15	80.69	82.19	81.51	85.62	100	73.29	69.18	69.18	74.66	68.66	73.97
SRR7216773_GL4758456	33.33	31.6	31.48	30.3	34.03	31.67	32.95	30.83	29.92	30.45	29.7	28.15	29	27.78	33.33	27.63	32.07	27.88	31.25	31.55	32.6	30.74	33.07	34.84	31.25	31.5	31.09	32.2	30.11	30.91	53.87	53.45	52.23	55.73	58.12	55.52	59.07	57.33	58.41	60.47	66.67	61.32	60.21	69.35	70.66	67	73.65	70.86	73.29	100	80.92	77.11	74.75	63.78	72.54
SRR2657219_GL0622754	32.08	30.91	30.07	29.92	31.41	31.11	31.8	31	28.57	29.48	30.08	28.18	27.59	26.67	30.86	28.02	29.96	26.21	30.23	29.76	30.94	29.57	32.68	34.19	32.03	31.89	30.77	31.71	29.82	30.45	54.93	53.11	54.46	57.25	59.16	57.24	59.85	59.11	56.07	62.46	61.11	59.93	59.17	66.13	69.01	65.68	69.46	72.52	69.18	80.92	100	75.3	73.74	63.78	71.19
SRR7216773_GL10597300	30.52	31.17	30.32	31.17	30.52	29.87	31.82	33.77	29.22	29.87	30.52	29.68	31.17	29.87	33.1	27.27	31.17	27.92	33.77	30.53	31.75	29.22	31.17	32.03	29.22	29.87	32.03	31.71	31.17	31.17	57.14	58.82	57.79	57.52	59.74	62.34	62.34	60.83	63.1	66.27	66.67	65.13	65.58	80.95	70.3	67.47	69.28	74.1	69.18	77.11	75.3	100	79.52	65.48	75.3
SRR7216773_GL14739722	32.7	30.6	30.86	31.06	33.51	32.22	33.08	32.08	31.94	31.32	32.08	28.25	28.73	25.56	32.1	28.02	29.54	25.75	30.08	28.57	31.49	29.57	30.74	31.61	28.52	28.74	30.83	30.24	29.48	29.09	59.15	59.51	57.19	58.4	60.21	59.65	59.85	61.33	58.41	66.44	65.43	63.25	63.16	72.04	74.38	77.78	79.04	75.68	74.66	74.75	73.74	79.52	100	72.96	80.34
SRR7216773_GL1495803	30.95	29.51	28.42	31.67	29.91	28.3	32.22	30.6	30.94	30.05	30.6	27.32	31.69	22.64	30.61	27.32	28.83	26.78	29.67	29.91	31.85	30.6	32.24	33.33	28.02	28.89	32.97	32.1	30.6	30.82	55.26	57.37	55.26	55.61	54.78	58.95	56.83	57.92	59.69	63.45	56.1	59.39	59.39	54.84	73.91	75.63	67.06	74.36	68.66	63.78	63.78	65.48	72.96	100	74.62
